Date,Open,High,Low
2018-09-05,38192.95,38250.61,37774.42
2018-09-06,38161.85,38320.96,37912.5
2018-09-07,38314.55,38421.56,38067.22
2018-09-10,38348.39,38354.52,37882.83
2018-09-11,38017.49,38043.27,37361.2
2018-09-12,37546.42,37752.58,37342.0
2018-09-14,37939.29,38125.62,37859.52
2018-09-17,38027.81,38027.81,37548.93
2018-09-18,37660.19,37745.44,37242.85
2018-09-19,37432.93,37530.63,37062.69
2018-09-21,37278.89,37489.24,35993.64
2018-09-24,36924.72,36945.5,36216.95
2018-09-25,36350.25,36705.79,36064.1
2018-09-26,36936.64,36938.74,36357.93
2018-09-27,36691.93,36711.62,36238.23
2018-09-28,36452.74,36551.86,35985.63
2018-10-01,36274.25,36616.64,35960.65
2018-10-03,36602.85,36602.85,35911.82
2018-10-04,35820.53,35820.53,35022.12
2018-10-05,35097.99,35118.54,34202.22
2018-10-08,34412.36,34636.43,33974.66
2018-10-09,34651.82,34711.68,34233.5
2018-10-10,34493.21,34858.35,34346.5
2018-10-11,34063.82,34325.18,33723.53
2018-10-12,34291.92,34808.42,34279.78
2018-10-15,34971.83,35008.65,34559.98
2018-10-16,35004.33,35215.79,34913.06
2018-10-17,35543.38,35605.43,34727.16
2018-10-19,34563.29,34563.29,34140.32
2018-10-22,34689.39,34748.69,34082.76
2018-10-23,33935.88,34073.92,33742.75
2018-10-24,34203.7,34300.97,33726.07
2018-10-25,33778.6,33838.76,33553.18
2018-10-26,33776.8,33776.8,33291.58
2018-10-29,33549.88,34154.6,33341.8
2018-10-30,34068.92,34176.36,33799.79
2018-10-31,33963.09,34463.38,33587.24
2018-11-01,34650.63,34679.93,34303.38
2018-11-02,34743.95,35190.2,34649.8
2018-11-05,35118.62,35123.41,34811.6
2018-11-06,35076.24,35196.03,34889.72
2018-11-07,35301.88,35302.25,35183.17
2018-11-09,35258.13,35287.29,35011.23
2018-11-12,35287.49,35333.22,34756.8
2018-11-13,34846.19,35187.75,34672.2
2018-11-14,35330.14,35351.88,34986.86
2018-11-15,35145.75,35402.0,35118.42
2018-11-16,35398.7,35545.85,35324.37
2018-11-19,35647.62,35818.83,35511.1
2018-11-20,35730.77,35731.67,35416.18
2018-11-21,35492.62,35494.25,35112.49
2018-11-22,35282.33,35364.5,34937.98
2018-11-26,35118.09,35397.24,34896.07
2018-11-27,35394.77,35555.16,35262.97
2018-11-28,35635.52,35822.16,35605.34
2018-11-29,35997.29,36253.85,35946.24
2018-11-30,36304.43,36389.22,36082.97
2018-12-03,36396.69,36446.16,36099.68
2018-12-04,36290.48,36295.84,36036.39
2018-12-05,36035.65,36048.65,35777.81
2018-12-06,35694.25,35707.23,35266.76
2018-12-07,35494.86,35730.05,35378.27
2018-12-10,35204.66,35246.97,34915.77
2018-12-11,34584.13,35207.33,34426.29
2018-12-12,35277.84,35826.58,35167.47
2018-12-13,36024.88,36095.56,35794.51
2018-12-14,35960.19,36019.02,35813.85
2018-12-17,36129.13,36312.31,36123.62
2018-12-18,36226.38,36375.38,36046.52
2018-12-19,36441.46,36554.99,36381.87
2018-12-20,36321.18,36475.52,36202.9
2018-12-21,36449.27,36483.49,35694.74
2018-12-24,35859.66,35910.67,35423.24
2018-12-26,35443.16,35711.26,35010.82
2018-12-27,36002.11,36041.24,35781.95
2018-12-28,35911.99,36194.78,35911.99
2018-12-31,36239.19,36285.46,36033.95
2019-01-01,36161.8,36284.04,35888.62
2019-01-02,36198.13,36236.7,35734.01
2019-01-03,35934.5,35999.66,35475.57
2019-01-04,35590.79,35744.2,35382.08
2019-01-07,35971.18,36076.95,35809.23
2019-01-08,35964.62,36037.35,35753.95
2019-01-09,36181.37,36250.54,35863.29
2019-01-10,36258.0,36269.31,36070.76
2019-01-11,36191.87,36214.26,35840.6
2019-01-14,36113.27,36124.94,35691.75
2019-01-15,35950.08,36349.31,35950.08
2019-01-16,36370.74,36462.03,36278.61
2019-01-17,36413.6,36468.42,36170.8
2019-01-18,36417.58,36469.98,36218.33
2019-01-21,36467.12,36701.03,36351.77
2019-01-22,36649.92,36650.47,36282.93
2019-01-23,36494.12,36521.47,36037.9
2019-01-24,36146.55,36258.28,35996.68
2019-01-25,36245.77,36474.48,35953.15
2019-01-28,36099.62,36124.26,35565.15
2019-01-29,35716.72,35734.14,35375.51
2019-01-30,35819.67,35850.41,35490.97
2019-01-31,35805.51,36278.13,35740.07
2019-02-01,36311.74,36778.14,36221.32
2019-02-04,36456.22,36622.77,36225.48
2019-02-05,36573.04,36727.83,36495.83
2019-02-06,36714.54,37005.25,36680.88
2019-02-07,37026.56,37172.18,36898.8
2019-02-08,36873.59,36885.58,36480.62
2019-02-11,36585.5,36588.41,36300.48
2019-02-12,36405.72,36465.4,36113.91
2019-02-13,36279.63,36375.8,35962.68
2019-02-14,36065.08,36109.1,35799.42
2019-02-15,35985.68,36022.57,35510.97
2019-02-18,35831.18,35912.44,35470.76
2019-02-19,35543.24,35776.04,35287.16
2019-02-20,35564.93,35797.11,35469.49
2019-02-21,35837.0,35983.07,35707.29
2019-02-22,35906.01,35941.69,35795.79
2019-02-25,35983.8,36242.18,35901.06
2019-02-26,35975.75,36172.52,35714.16
2019-02-27,36138.83,36371.11,35735.33
2019-02-28,36025.72,36085.85,35829.15
2019-03-01,36018.49,36140.67,35952.41
2019-03-05,36141.07,36457.44,35926.94
2019-03-06,36544.86,36666.47,36456.82
2019-03-07,36744.02,36830.25,36590.88
2019-03-08,36753.59,36753.59,36592.93
2019-03-11,36741.57,37106.19,36726.39
2019-03-12,37249.65,37586.63,37230.85
2019-03-13,37608.29,37797.29,37478.87
2019-03-14,37840.64,37907.78,37693.69
2019-03-15,37760.23,38254.77,37760.23
2019-03-18,38132.96,38369.59,37952.1
2019-03-19,38218.59,38396.06,38078.23
2019-03-20,38433.86,38489.81,38316.21
2019-03-22,38452.47,38564.71,38089.36
2019-03-25,38016.76,38016.76,37667.4
2019-03-26,37886.29,38297.7,37800.08
2019-03-27,38372.03,38475.93,38001.34
2019-03-28,38208.3,38593.65,38148.44
2019-03-29,38675.0,38748.54,38546.68
